50136	5258	12231	4385	2020	1	1	15	35	11	53	11	9	9	9	9	9
50136	5258	12231	4385	2020	1	2	11	38	10	56	10	9	9	9	9	9
50136	5258	12231	4385	2020	1	3	7	26	7	34	7	9	9	9	9	9
50136	5258	12231	4385	2020	1	4	10	22	7	28	7	9	9	9	9	9
50136	5258	12231	4385	2020	1	5	5	18	4	26	6	9	9	9	9	9
50136	5258	12231	4385	2020	1	6	4	13	12	18	12	9	9	9	9	9
50136	5258	12231	4385	2020	1	7	5	17	8	22	8	9	9	9	9	9
50136	5258	12231	4385	2020	1	8	4	17	7	21	7	9	9	9	9	9
50136	5258	12231	4385	2020	1	9	1	12	8	18	10	9	9	9	9	9
50136	5258	12231	4385	2020	1	10	13	24	12	43	13	9	9	9	9	9
50136	5258	12231	4385	2020	1	11	8	24	12	29	12	9	9	9	9	9
50136	5258	12231	4385	2020	1	12	12	27	10	37	10	9	9	9	9	9
50136	5258	12231	4385	2020	1	13	6	19	7	25	5	9	9	9	9	9
50136	5258	12231	4385	2020	1	14	4	18	7	23	8	9	9	9	9	9
50136	5258	12231	4385	2020	1	15	6	14	8	18	5	9	9	9	9	9
50136	5258	12231	4385	2020	1	16	5	20	8	29	10	9	9	9	9	9
50136	5258	12231	4385	2020	1	17	8	24	7	28	8	9	9	9	9	9
50136	5258	12231	4385	2020	1	18	8	14	8	20	9	9	9	9	9	9
50136	5258	12231	4385	2020	1	19	5	15	7	21	7	9	9	9	9	9
50136	5258	12231	4385	2020	1	20	5	19	7	23	7	9	9	9	9	9
50136	5258	12231	4385	2020	1	21	9	16	7	21	8	9	9	9	9	9
50136	5258	12231	4385	2020	1	22	12	45	10	80	10	9	9	9	9	9
50136	5258	12231	4385	2020	1	23	21	71	12	116	13	9	9	9	9	9
50136	5258	12231	4385	2020	1	24	9	34	13	55	12	9	9	9	9	9
50136	5258	12231	4385	2020	1	25	15	63	10	93	10	9	9	9	9	9
50136	5258	12231	4385	2020	1	26	9	27	10	39	9	9	9	9	9	9
50136	5258	12231	4385	2020	1	27	7	15	11	19	7	9	9	9	9	9
50136	5258	12231	4385	2020	1	28	7	23	7	28	7	9	9	9	9	9
